x y depth
5.6 16.6 0.75
6.1 15.1 0.83
7.8 12.5 1
8.9 9.9 0.82
10.5 7.6 0.65
11.6 6.7 0.59
13.1 6.1 0.56
14.5 6.7 0.74
14.2 8.6 1.31
13.1 8.9 1.29
12.7 10.9 1.87
11.7 12.1 2.02
11 13.5 2.21
10.3 15.9 2.49
9.8 17.5 2.49
9.4 18 2.33
8.9 19.9 2.12
8.1 22.9 1.57
7.5 25.9 1.05
7.4 28.8 0.59
7.8 29.5 0.56
8.9 29.7 0.8
9.3 26.8 1.51
11 23.4 2.86
11.6 22.1 3.39
12.4 20.2 4.06
13 18.2 4.3
13.7 15.9 4
15.1 12.4 2.91
15.7 11.8 2.74
16.9 9.9 1.99
17.6 8.1 1.23
18.9 6.8 0.67
20.4 7.4 0.97
20.2 10 2.12
19.3 13.1 3.64
17.9 16.4 5.39
16.8 21.1 6.29
16.2 24.5 4.69
14.2 28.7 2.54
13.6 30.3 1.86
13.6 32 1.32
14 34.1 0.75
15.2 34.9 0.71
16.8 34.4 1.15
18.7 31.4 2.57
19.3 29.1 3.54
19.6 26.8 4.44
20.1 24 5.43
20.6 19.5 6.02
22 17.5 5.28
23.6 15 4.12
23.9 13.5 3.48
24.3 11.8 2.75
25.1 9.6 1.85
26.4 8 1.26
28.6 7.7 1.01
30 9.2 1.23
29 11.9 2.21
27.6 15.4 3.66
26.4 19.4 5.04
25.3 21.5 5.47
24.5 23.4 5.51
23.7 25.9 5.1
22.3 32.6 2.77
22.1 33.9 2.27
21.7 34.5 1.99
21.4 38.1 0.7
23.3 41.2 0.39
24.1 39.6 0.91
24.1 37.8 1.39
24.8 32.9 3.08
26.3 30.3 4.15
28.1 27.4 5.21
28.6 25.6 5.61
30.8 20.4 4.79
31.2 17.3 3.67
33 15.1 2.52
33.8 13.2 1.72
35.1 12.4 1.21
36.7 12.8 1.03
37.9 16 1.62
37.2 17.2 2.11
35.6 19.9 3.34
34.7 22.3 4.37
33.9 24.2 5.27
32.8 28.7 4.74
32 31.7 3.83
31.5 33.3 3.44
30.8 35.7 2.93
30 37.4 2.57
29.4 38.3 2.32
28.9 40 1.92
27.9 42.9 1.08
28.1 45.4 0.6
28.9 47.6 0.67
30.7 45.9 1.58
32.2 42.8 2.54
33.6 38.7 2.83
34.6 35.7 2.72
36.2 30.4 2.94
37.2 27.9 3.01
39 24.3 2.46
40.6 22.9 1.76
41.8 22.1 1.32
43.4 22.4 0.84
42.1 24.6 1.13
39.9 27.1 1.74
38.9 29 1.89
38.3 32.2 1.66
38.1 34.4 1.7
38 36.1 1.89
37.6 38.3 2.41
36.5 43.8 3.99
35.3 45.6 3.34
34.6 47.2 2.87
33.1 50.2 2.03
31.7 52 1.39
30.2 54.6 0.77
29 57.8 0.6
28.4 61 0.64
28.8 63 0.84
30.9 61.6 1.43
32.3 59 1.77
33.3 56.5 2
34.8 55 2.51
36.9 50.5 3.2
38.8 46.6 3.6
40.1 43.8 3.21
40.8 42.7 2.74
41.8 41.1 1.9
43.9 40.5 1
44.2 41.9 1.49
42.6 46 3.27
40.3 49.2 3.8
38.5 53.6 3.72
37.3 56.2 3.47
34.4 63.2 2.72
31.1 67 1.65
29.4 68.3 1.18
26.5 70.5 0.55
26.2 75 0.41
28.8 77.9 0.68
32.1 75.4 1.55
32.8 72.6 1.96
33.8 70.5 2.39
35.6 67.1 3.16
37.4 62.3 3.85
38.2 59.7 4.03
42.4 52.7 4.69
44.2 50.4 4.58
45.9 46.1 3.23
47.2 43.8 2.09
49.4 41.6 1.07
50.7 39.9 0.92
52.4 37 0.99
53.8 33.8 0.91
54.1 32 0.71
54.2 30.7 0.56
54.2 26.6 0.22
55 23 0.11
58.6 22.6 0.25
58.6 23.4 0.33
57.3 26.9 0.61
56.3 30.6 0.99
55.7 33.2 1.32
54.3 38.3 2.01
52.7 40.2 1.9
51.4 43.2 2.66
49.3 48.3 4.79
48 51.7 5.91
44.9 56.9 6.2
43.3 61.6 6.15
42.1 64.9 5.87
40.1 70.6 4.48
37.9 74.4 3.19
37.5 76.6 2.73
36.3 80.4 1.84
35.6 82.8 1.33
35.1 85.5 0.86
35.8 89.2 0.44
37.1 89.5 0.51
38.2 88.1 0.85
39.5 85.2 1.57
40.3 83.4 2.07
42 80.5 3.03
43.1 76.9 4.09
44.3 72.6 5.38
45.9 67 7
49.3 62.5 8.15
53.1 58.7 9.64
54.5 54.7 9.37
56 50.7 7.68
56.9 46.1 5.77
57.6 42.8 4.74
58.7 39.2 3.94
60.3 34.4 2.84
61.5 31.7 2.19
62.6 28.7 1.48
63.9 25.5 0.84
65.9 24.7 0.69
68.2 25.3 0.7
67.2 32.6 2.7
64.8 39.7 6.08
61 53.7 8.62
58.3 59.3 10.37
52.6 70.3 7.57
50.2 77.2 5.64
47.8 82.8 3.61
46.3 87.9 1.97
47.5 91.9 1.11
48.9 93.6 0.81
52.4 92.9 1.26
54.2 88.2 2.82
55.2 84.4 4.27
55.8 80.9 5.66
56.9 75.1 7.31
58.1 70.9 7.7
59.3 66.7 8.08
61.2 64.3 8.02
63 59.4 8.13
64.5 55.8 7.48
67 49.8 6.15
67.9 47.9 5.82
70 41.9 4.95
71.1 39.9 4.17
71.8 37.7 3.38
73.2 34.6 2.13
75.3 32.9 1.2
77.6 33.2 0.7
77.6 36 1.1
76.2 39.3 2.08
74.6 42.9 3.12
73 46.4 3.95
70.9 51.7 4.73
68.3 59.5 5.38
68.2 59.8 5.39
66.3 67.1 5.29
65.8 70.2 5.3
64.2 76 6.29
63.5 78 6.63
61.5 83 4.98
60.7 85.2 4.07
59.2 88.7 2.8
58.2 93.5 1.38
59 97.1 0.63
60.9 97.3 0.56
65.7 93.2 0.93
66.2 90.7 1.38
66.8 86 2.46
67.1 83.3 3.1
67.4 77.7 4.14
68.1 75 3.87
68.8 70.9 3.54
69.9 66.1 3.42
70.9 61.3 3.82
73.4 57.4 3.3
75 54.4 2.97
77.1 48.5 2.42
78.2 46.3 1.98
79.1 45.1 1.62
81.3 44.1 0.87
82.5 45.3 0.62
83.7 47.7 0.47
83 51.2 0.64
80.4 56.2 1.04
75.8 59.3 2.1
73.9 64.6 1.71
73.1 66.5 1.56
72 74.2 1.58
71.3 79.5 1.69
70.6 87.8 1
70.3 89.1 0.84
69.4 92.2 0.52
