x y
11.1 4.5
19.3 5.2
29.9 5.2
35.7 8.7
39.8 11.2
44.3 14
47.4 19.3
47.7 23.9
47.4 26.3
43.9 28.4
41.2 29.8
41.5 32.3
43.3 34.8
44.3 38
46.7 40.4
48.4 40.4
49.1 36.9
51.8 29.8
51.5 27.7
52.1 20.7
55.6 18.9
62.4 19.3
68.2 21
75 26.3
78.4 30.6
81.2 35.1
82.5 37.2
84.3 42.9
86 46.1
86.3 51.3
86 53.5
84.6 57.3
82.9 61.6
81.5 63.7
77.1 65.1
74.7 69
74.3 76
74.7 78.5
74.7 83.4
72.3 91.9
70.6 95.4
66.1 99.3
59.3 99.3
50.4 97.5
45.6 96.1
39.5 93.6
32.3 89.1
28.9 85.9
26.5 81.7
24.1 77.8
23.1 71.4
23.1 69.7
24.5 66.1
25.5 63.3
27.2 56.3
28.2 54.2
27.9 47.8
26.9 46.1
22.4 42.2
20 39.4
18.7 38.7
13.5 36.5
11.1 36.2
6.7 31.3
6.4 29.1
4.3 21
4.3 17.5
5 10.1
6.4 7.3
9.1 3.8
11.1 4.5
